epigramme_id,book,fragment,urn,author_fr,text_fr,type
12.1,12,1,urn:cts:greekLit:tlg7000.tlg001.ag:12.1,Straton de Sardes,"""Commençons par Zeus"", comme le disait Aratos; et vous, ô Muses, aujourd'hui je ne vous dérange pas. En effet, si j'aime les garçons et je sors avec des garçons, qu'est-ce que cela peut bien faire aux Muses de l'Hélicon?",homo
12.9,12,9,urn:cts:greekLit:tlg7000.tlg001.ag:12.9,Straton de Sardes,"Maintenant t'es beau, Diodore et mûr pour les amants: mais même si tu devais te marier, nous ne te lâcherons pas",homo
12.10,12,10,urn:cts:greekLit:tlg7000.tlg001.ag:12.10,Straton de Sardes,"Même si tu commences à avoir des poils, ainsi que de douces boucles blondes sur ton front, je ne fuis pas mon aimé, mais sa beauté avec barbe ou avec cheveux, est la nôtre.",homo
12.11,12,11,urn:cts:greekLit:tlg7000.tlg001.ag:12.11,Straton de Sardes,"Hier ayant Philostrate pour la nuit, je n'ai pas profité de lui qui pourtant - comment dire - m'en offrait toutes les occasions. Ne me prenait plus comme amant, amis, mais d'une tour jetez moi, car je suis devenu vraiment Axtyanax.",homo
12.15,12,15,urn:cts:greekLit:tlg7000.tlg001.ag:12.15,Straton de Sardes,"Si même une planche a mordu les fesses de Graphicos dans son bain, que va-t-il m'arriver à moi qui suis un homme? Même le bois le comprend.",homo
12.16,12,16,urn:cts:greekLit:tlg7000.tlg001.ag:12.16,Straton de Sardes,"Ne cache pas celui que tu aimes, Philocrate: ce dieu est déjà tout seul capable de piétiner notre cœur; mais donne moi un baiser gai. Un jour viendra que toi aussi tu demanderas les mêmes grâces à d'autres.",homo
12.17,12,17,urn:cts:greekLit:tlg7000.tlg001.ag:12.17,Asclépiade de Samos; Posidippe; anonyme,"Je n'a pas dans mon cœur un amour féminin, mais les flammes d'un mâle allument en moi un incendie inextinguible. Cette chaleur est plus forte: comme un mâle est plus puissant qu'une femelle, ainsi aussi sa passion est plus vive.",homo
12.18,12,18,urn:cts:greekLit:tlg7000.tlg001.ag:12.18,Alphée de Mytilène,"Pauvres ce qui ont une vie sans amour. Il n'est en effet pas facile de faire ou de dire quoique ce soit sans passions. Et en effet moi maintenant je suis très lent: si je regardais Xénophile, je volerais plus rapide que la lumière. Donc de ne pas fuir le doux amour, mais de courir après lui, je dis à tous. L'amour est une pierre à aguiser l'âme.",homo
12.21,12,21,urn:cts:greekLit:tlg7000.tlg001.ag:12.21,Straton de Sardes,"Pour combien de temps encore volerons nous des baisers, et en secret nous ferons-nous signe de la tête avec des yeux radins? Jusqu'à quand parlerons-nous sans fin, aux attentes rajoutant encore des vaines attentes? Nous gaspillerons la beauté en tergiversant. Mais avant qu'arrivent les envieux, Fidon, ajoutons des faits aux mots.",homo
12.24,12,24,urn:cts:greekLit:tlg7000.tlg001.ag:12.24,Tullius Laurea,"Si Polémon me revient sain et sauf, tel quel je l'ai laissé partir, Seigneur de Délos, je ne refuserai pas de faire le sacrifice sur les autels d'un coq que j'ai promis à tes prières; mais si il revient avec quelque chose de changé soit petite soit grande, je serai libéré de cette promesse. Il est revenu, mais avec une barbe. Si ça lui plaisait et c'est lui qui l'a demandé, que celui qui a demandé fasse l'offrande.",homo
