epigramme_id,book,fragment,urn,author_fr,text_fr
5.1,5,1,urn:cts:greekLit:tlg7000.tlg001.ag:5.1,Constantin Céphalas,"Enflammant le cœur des jeunes avec une ferveur savante, je ferai que l’Amour soit le commencement de ces discours ; c’est lui, en effet, qui allume le flambeau pour les jeunes"
5.2,5,2,urn:cts:greekLit:tlg7000.tlg001.ag:5.2,anonyme,"Sthénélaïde, celle qui fait brûler les villes, celle qui se fait payer cher, celle qui crache de l’or d’après ceux qui la désirent, le rêve l’a couchée nue à mes côtés toute la nuit me donnant du plaisir gratuitement jusqu’à l’aurore. Je ne devrai pas la supplier à genoux, cette barbare, ni pleurer sur moi-même, parce que j’ai le Sommeil qui m’accorde ces plaisirs."
5.3,5,3,urn:cts:greekLit:tlg7000.tlg001.ag:5.3,Antipater de Thessalonique,"Le jour se lève, Chrysille, et depuis longtemps, le coq matinier chantant a fait apparaître l’Aurore envieuse. Va au diable toi, le plus jaloux des oiseaux, qui me presse hors de la maison vers les nombreux chants des célibataires. Tu vieillis, Tithon ; pourquoi sinon tu chasses ton épouse Aurore du lit si tôt ?"
5.4,5,4,urn:cts:greekLit:tlg7000.tlg001.ag:5.4,Philodème de Gadara,"Philénis, après avoir enivré la lampe qui connaît mais garde secrètes les choses qu’on ne peut dire d’une liqueur huileuse, va-t-en : car l’Amour solitaire n’apprécie pas les témoins vivants, et ferme bien la porte, Philénis. Et toi, embrasse-moi, Xantho : quant à toi, ô lit qui aime les aimants, apprends maintenant ce qu’il faut savoir d’Aphrodite."
5.5,5,5,urn:cts:greekLit:tlg7000.tlg001.ag:5.5,Statilius Flaccus,"Moi, lampe en argent, fidèle témoin des amours nocturnes, Flaccus m’a donnée à l’infidèle Nape, maintenant je me consomme à côté de son lit, pendant que je regarde toutes les horreurs insupportables de cette fille parjure. Toi, Flaccus, réveillé, de troublantes angoisses t’accablent : tous deux, nous brûlons, chacun de notre côté."
5.6,5,6,urn:cts:greekLit:tlg7000.tlg001.ag:5.6,Callimaque de Cyrène,"Callignote a juré à Ionis que jamais il n’aimera quelqu’un - homme ou femme - plus qu’elle. Il l’a juré; mais ce que les gens disent est vrai: les serments en amour n’atteignent pas les oreilles des immortels. Maintenant le feu qui le réchauffe, c’est un jeune homme: sa pauvre jeune épouse, tout comme les Mégariens, il n’en tient plus compte."
5.7,5,7,urn:cts:greekLit:tlg7000.tlg001.ag:5.7,Asclépiade de Samos,"Lampe, devant toi Héraclée a juré trois fois qu’elle viendrait et elle ne vient pas: lampe, si tu es un dieu, punis cette traitresse, pendant qu’elle batifole avec un amant à la maison éteins-toi et ne fais plus de lumière."
5.8,5,8,urn:cts:greekLit:tlg7000.tlg001.ag:5.8,Méléagre de Gadara,"Ô nuit sacrée, ô lampe, tous deux nous n’avons voulu aucun autre témoin de nos serments que vous et nous avons juré lui qu’il m’aimerait, et moi que je ne le quitterais jamais, ensemble vous en détenez la preuve. Mais maintenant lui dit que ces serments sont écrits dans l’eau, et toi, lampe, tu le vois dans les bras d’autres personnes."
5.9,5,9,urn:cts:greekLit:tlg7000.tlg001.ag:5.9,Rufin,"Moi, Rufin, à ma très douce Elpis, je souhaite bien de la joie, si elle peut avoir de la joie en mon absence. Non, je ne puis plus, j’en jure par tes yeux, supporter cette séparation d’avec toi, cette solitude de mon lit, cet isolement auquel je me condamne ; toujours baigné de larmes, je m’en vais soit au Coressos soit au temple de la grande Artémis. Mais demain ma patrie m’aura reçu et je volerai vers tes yeux, pour te dire adieu encore mille fois."
5.10,5,10,urn:cts:greekLit:tlg7000.tlg001.ag:5.10,Alcée de Messène,"Je hais l’Amour : pourquoi, pesant, sur les bêtes sauvages Ne s’élance-t-il pas, alors qu’il jette des traits à mon cœur? Qu’a-t-il à gagner, si un dieu consume un homme? et quel trophée En me tuant, tire-t-il de ma tête?"
5.11,5,11,urn:cts:greekLit:tlg7000.tlg001.ag:5.11,anonyme,"Si tu sauves ceux qui sont en mer, Cypris, moi aussi sur terre je fais naufrage; déesse bienveillante, sauve-moi de la perdition."
5.12,5,12,urn:cts:greekLit:tlg7000.tlg001.ag:5.12,Rufin,"Baignons-nous, Prodikè, puis couronnons-nous de fleurs, et pour humer le vin pur prenons des coupes plus grandes. L'âge des jouissances est bien court dans la vie; ensuite, tout le reste du temps, la vieillesse nous les interdira, et pour finir ce sera la mort."
5.13,5,13,urn:cts:greekLit:tlg7000.tlg001.ag:5.13,Philodème de Gadara,"Charito achève d'accomplir ses soixante révolutions annuelles, mais elle a toujours ses longs flots de cheveux noirs et sur sa poitrine ses seins de marbre dressent encore leur pointe, sans qu'aucune ceinture les emprisonne; sa peau, que ne flétrit aucune ride, distille toujours l'ambroisie, les séductions de toute sorte et des grâces innombrables. Allons, vous qui ne fuyez pas les désirs bouillonnants, vrais amants, venez ici, sans regarder au nombre de ses décades."
5.14,5,14,urn:cts:greekLit:tlg7000.tlg001.ag:5.14,Rufin,"Le baiser d’Europe, même s’il ne vient qu’aux lèvres Est doux, et même s’il ne touche qu’à la surface de la bouche. Mais ce n’est pas du bout des lèvres qu’elle me touche, mais en luttant Par la bouche, elle me vide complètement de mon âme."
5.15,5,15,urn:cts:greekLit:tlg7000.tlg001.ag:5.15,Rufin,"Où est donc aujourd’hui Praxitèle? où sont les mains de Polyclète Qui jadis conféraient une âme à ses œuvres? Qui façonnera les tresses parfumées de Mélite, ou ses yeux Brûlants, et la splendeur de son cou? Où sont les mouleurs? où les maçons? Il convient à une telle Beauté, d’avoir un temple, comme à une effigie des bienheureux."
